Chave do Ticket,Tipo de Solicitacao,Resumo,Status Atual,Criador,Atribuido Para,Resolucao,SLA: Primeira Resposta (Foi Violado?),SLA: Primeira Resposta (Tempo Gasto),SLA: Tempo Resolucao (Foi Violado?),SLA: Tempo Resolucao (Tempo Gasto),Data de Criacao
"GC-8918","[System] Change","Retorno Manutenção Preventiva no POP LAG Poste Júlio César Tosta (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","29/01/2026, 08:20:05"
"GC-8904","[System] Change","SCQ TORRE ALEMOA X CLPL PosteZenildo - Troca de rádio.","Completed","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","27/01/2026, 17:54:33"
"GC-8903","[System] Change","Azog - Redundância","Completed","T.I - Grupo CEDNET","N/A","Feito","SIM","10h 14m","N/A","N/A","27/01/2026, 17:44:53"
"GC-8900","[System] Change","Retorno Manutenção Preventiva no POP LAG Poste Bairro Dourado (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","27/01/2026, 15:45:37"
"GC-8894","[System] Change","Retorno Manutenção Preventiva no POP LAG Sitio Bela Vista (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","27/01/2026, 11:03:04"
"GC-8893","[System] Change","Retorno Manutenção Preventiva no POP MDR Poste Sítio Novo Recanto (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","27/01/2026, 10:30:40"
"GC-8890","[System] Change","Retorno Manutenção Preventiva no POP IP Caixa Dágua Fazenda Santa Cecilia (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","26/01/2026, 14:40:21"
"GC-8887","[System] Change","OLT ILHA BELLA - Sem monitoramento.","Completed","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","26/01/2026, 08:39:09"
"GC-8886","[System] Change","Retorno Manutenção Preventiva no POP MDR Poste Leandro Pires (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","26/01/2026, 07:19:34"
"GC-8870","[System] Change","TJP Jacutinga II (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","22/01/2026, 13:37:36"
"GC-8869","[System] Change","Migração do POP FTR Pinheirinho ","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","22/01/2026, 11:21:58"
"GC-8866","[System] Change","IPP_CX_04- Preventiva","Completed","Infraestrutura","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","21/01/2026, 17:09:19"
"GC-8865","[System] Change","FTR Pinheirinho- Manutenção Corretiva","Completed","Infraestrutura","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","21/01/2026, 15:19:37"
"GC-8864","[System] Change","Retorno Manutenção Preventiva no POP MDR Capela Batatais (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","21/01/2026, 15:09:57"
"GC-8863","[System] Change","Retorno Manutenção Preventiva no POP MDR Barracão Araras (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","21/01/2026, 14:51:07"
"GC-8856","[System] Change","Retorno Manutenção Preventiva no POP MDR CX D´Água Avam Flora (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","20/01/2026, 10:37:19"
"GC-8854","[System] Change","Retorno Manutenção Preventiva no POP MDR CX D´Água Olhos D Água II (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","20/01/2026, 09:45:35"
"GC-8853","[System] Change","TJPAP_POLICIA_NE_AC - Retrofit","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","20/01/2026, 09:37:19"
"GC-8847","[System] Change","Retorno Manutenção Preventiva no POP MDR Olhos D Água I (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","19/01/2026, 11:24:38"
"GC-8846","[System] Change","Retorno Manutenção Preventiva no POP MDR Poste Bela Flor (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","19/01/2026, 11:22:55"
"GC-8844","[System] Change","Migração Ribeirão Bonito Cianet para Datacom","Awaiting implementation","Infraestrutura","Infraestrutura","Em Aberto","N/A (Excluído)","N/A (Excluído)","N/A","N/A","19/01/2026, 09:53:53"
"GC-8842","[System] Change","Retorno Manutenção Preventiva no POP MDR Caixa D água Prefeitura I (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","19/01/2026, 07:24:39"
"GC-8840","[System] Change","CT_CTO - Abertura de Caixa de Terminação óptica.","Canceled","NOC Grupo Cednet","N/A","Concluído","N/A (Excluído)","N/A (Excluído)","N/A","N/A","18/01/2026, 17:12:48"
"GC-8826","[System] Change","CLPL Ilha Bela (Rede rádio) - intermitencia","Completed","NOC Grupo Cednet","Infraestrutura","Concluído","N/A (Excluído)","N/A (Excluído)","N/A","N/A","16/01/2026, 10:52:05"
"GC-8824","[System] Change","Desativação do POP SRT Casa Eliel (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","16/01/2026, 07:31:58"
"GC-8813","[System] Change","Retorno Manutenção Preventiva no POP CQC Poste Rancho do Toninho (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","15/01/2026, 07:28:20"
"GC-8812","[System] Change","Retorno Manutenção Preventiva do POP CQC Torre Pontal (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","15/01/2026, 07:25:17"
"GC-8805","[System] Change","Retorno Manutenção Preventiva do POP CQC Caixa D água Bela Vista (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","14/01/2026, 10:43:45"
"GC-8804","[System] Change","Enlace FTR Recanto dos Pássaros x FTR Torre TV","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","14/01/2026, 10:00:17"
"GC-8802","[System] Change","Retorno Manutenção Preventiva do POP CQC Torre Cardoso (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","14/01/2026, 09:15:41"
"GC-8797","[System] Change","Retorno Manutenção Preventiva do POP CQC Rancho Dias (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","13/01/2026, 15:25:30"
"GC-8795","[System] Change","BA CX Dagua Antônio (Parte Norte) (R) ","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","13/01/2026, 14:03:14"
"GC-8794","[System] Change","Retorno Manutenção Preventiva do POP ASB Torre Ronival (R)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","13/01/2026, 13:55:01"
"GC-8788","[System] Change","Continuidade na Manutenção Preventiva do POP ASB Silo (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","13/01/2026, 10:06:22"
"GC-8786","[System] Change","Retorno Manutenção Preventiva do POP ASB Torre TV","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","13/01/2026, 08:21:11"
"GC-8780","[System] Change","ASB Silo- Preventiva ","Completed","Infraestrutura","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","12/01/2026, 09:20:19"
"GC-8778","[System] Change","Rede eletrica SPT Aprust","Completed","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","12/01/2026, 07:30:43"
"GC-8777","[System] Change","SW-TPLINK - TAG Torre Cednet","Awaiting implementation","NOC Grupo Cednet","Infraestrutura","Em Aberto","N/A (Excluído)","N/A (Excluído)","N/A","N/A","11/01/2026, 17:56:42"
"GC-8763","[System] Change","TAGAP_RADIO_NE_AC (10.1.142.2) - /100","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","10/01/2026, 09:17:40"
"GC-8760","[System] Change","Troca de Equipamento - Equinix SP2","Completed","T.I - Grupo CEDNET","N/A","Feito","NAO","9m","N/A","N/A","09/01/2026, 17:01:58"
"GC-8744","[System] Change","Abertura de Caixa no cabo de Salto Grande","Completed","Infraestrutura","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","08/01/2026, 08:37:51"
"GC-8740","[System] Change","PTP Ribeirão a Carlopolis- Manutenção corretiva. ","Completed","Infraestrutura","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","08/01/2026, 06:32:59"
"GC-8736","[System] Change","CLPL Residencial Ilha Bela - Manutenção","Completed","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","07/01/2026, 19:33:47"
"GC-8731","[System] Change","LAG Justo III","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","07/01/2026, 11:01:20"
"GC-8730","[System] Change","CLPL Mingo - Troca de radio","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","07/01/2026, 10:25:33"
"GC-8725","[System] Change","Organização do CPD Matriz","Awaiting implementation","T.I - Grupo CEDNET","Infraestrutura","Em Aberto","SIM","8h 20m","N/A","N/A","06/01/2026, 17:08:55"
"GC-8710","[System] Change","Switch Barra Seca - Sem monitoramento","Completed","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","05/01/2026, 15:30:20"
"GC-8705","[System] Change","FTR Kiko Manutençã Elétrica","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","05/01/2026, 10:53:45"
"GC-8704","[System] Change","SRTAP_EDUVALE_NO_AC ","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","05/01/2026, 09:54:20"
"GC-8702","[System] Change","TJP BAIRRO FELIX - Manutenção Preventiva","Completed","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","05/01/2026, 08:01:20"
"GC-8692","[System] Change","SCRP PREDIO SAN RAFAEL - Verificar banco de Baterias.","Completed","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","03/01/2026, 08:11:06"
"GC-8682","[System] Change","CPD Casa Amarela - Troca de Baterias","Canceled","NOC Grupo Cednet","N/A","Não fazer","N/A (Excluído)","N/A (Excluído)","N/A","N/A","01/01/2026, 16:57:26"
"GC-8942","[System] Incident","FTR_TBR_CX_02 e ramificações off","Fechada","Luiz Gustavo Bachiega","N/A","Rejeitado","NAO","20m","NAO","20m","31/01/2026, 17:25:26"
"GC-8941","[System] Incident","SCRP_CX_178G","Fechada","Mayara Fernandes Figueiredo","N/A","Concluído","SIM","41m","NAO","2h 41m","31/01/2026, 12:43:29"
"GC-8939","[System] Incident","FTR Fazenda Vitoria (Triunfo) (R)","Fechada","Vinicius de Moraes","Infraestrutura","Feito","SIM","30m","NAO","1h 10m","31/01/2026, 06:11:48"
"GC-8938","[System] Incident","TJP TORRE POLICIA - Indisponivel","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","NAO","1h 55m","30/01/2026, 21:37:37"
"GC-8936","[System] Incident","OUR_A6_CTO_13C1 - Los","Fechada","Julberto Capra Jr","Infraestrutura","Concluído","NAO","14m","NAO","3h 8m","30/01/2026, 16:37:43"
"GC-8935","[System] Incident","SCRP_CTO_215 e ramificações off","Fechada","Luiz Gustavo Bachiega","N/A","Feito","NAO","8m","NAO","26m","30/01/2026, 16:32:27"
"GC-8934","[System] Incident","CLPL WALDERMAR ROCHA (WROCHA) - indisponível","Fechada","Fernando Felipe Constantino Callegari","N/A","Feito","NAO","14m","NAO","14m","30/01/2026, 15:54:07"
"GC-8933","[System] Incident","OUR_A8_CTO_05H - Indisponível","Fechada","julia marcelino","N/A","Feito","SIM","1h 25m","NAO","4h 11m","30/01/2026, 12:27:06"
"GC-8932","[System] Incident","BAAP_BANTONINA03_AC - Indisponível ","Fechada","julia marcelino","N/A","Falha de Hardware","NAO","3m","NAO","4m","30/01/2026, 11:14:12"
"GC-8929","[System] Incident"," OL Sitio Fabio Mecanica - Indisponível","Fechada","Andrew Oliveira","N/A","Feito","NAO","1m","NAO","1m","29/01/2026, 22:32:02"
"GC-8925","[System] Incident","FTRAP_GRPASSAROS_AC - OFF","Fechada","Maria Eduarda","N/A","Duplicado","NAO","4m","NAO","4m","29/01/2026, 12:28:50"
"GC-8922","[System] Incident","CLPL TEREZINHA DANIEL (TAKAHASHI) - Indisponível","Fechada","Maria Luíza Oliveira e Silva","Infraestrutura","Concluído","NAO","17m","NAO","55m","29/01/2026, 10:06:32"
"GC-8917","[System] Incident","GC FTR Rec. Passaros OFF","Fechada","Eduardo Oliveira","N/A","Feito","NAO","7m","NAO","36m","29/01/2026, 07:52:53"
"GC-8916","[System] Incident","CLPLAP-12352VANESSAxMILENA_AC","Fechada","Vinicius de Moraes","N/A","Feito","NAO","0m","NAO","0m","29/01/2026, 06:58:25"
"GC-8914","[System] Incident","	TBR Calcario Guapirama OFF","Fechada","Marcos Vinicius Cardoso","N/A","Feito","NAO","8m","NAO","8m","28/01/2026, 18:39:47"
"GC-8913","[System] Incident","RC Torre Principal Fazenda Boa Vista (R) - OFF","Fechada","Gustavo Gigliotte Teixeira","Infraestrutura","Feito","NAO","9m","NAO","1h 27m","28/01/2026, 15:50:29"
"GC-8912","[System] Incident","SCRP Torre Fazenda","Fechada","Fernando Felipe Constantino Callegari","Infraestrutura","Concluído","NAO","14m","NAO","45m","28/01/2026, 15:33:38"
"GC-8911","[System] Incident","FTRAP_KIKO1_AC - Off","Fechada","claudio henrique dumas dias","N/A","Feito","NAO","9m","NAO","9m","28/01/2026, 14:48:24"
"GC-8910","[System] Incident","SCRP_CX_38 e ramificações off","Fechada","Leonardo Henrique ","N/A","Feito","NAO","6m","NAO","3h 48m","28/01/2026, 14:40:43"
"GC-8907","[System] Incident","CBRLK_BALANCA_CAMBARAxJJ_AC - INDISPONÍVEL ","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","1h 28m","27/01/2026, 22:57:56"
"GC-8905","[System] Incident","Vivo - Indisponível","Fechada","NOC Grupo Cednet","NOC Grupo Cednet","Feito","N/A (Excluído)","N/A (Excluído)","N/A (Excluído)","N/A (Excluído)","27/01/2026, 18:28:27"
"GC-8902","[System] Incident","SBAP_TORRECELULAR03_M5 - OFF","Fechada","Maria Eduarda","N/A","Feito","NAO","11m","NAO","1h 34m","27/01/2026, 17:10:53"
"GC-8901","[System] Incident","SCRP_CX_178F - OFF","Fechada","Gustavo Gigliotte Teixeira","N/A","Feito","NAO","14m","NAO","14m","27/01/2026, 16:37:38"
"GC-8899","[System] Incident","OUR_A3 indisponível. ","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2h 35m","27/01/2026, 15:42:16"
"GC-8898","[System] Incident","OUR_A3_CTO_18A - Indisponivel","Fechada","Daniel","N/A","Feito","NAO","4m","NAO","4m","27/01/2026, 15:39:21"
"GC-8897","[System] Incident","OUR_A3_CTO_26E1 off","Fechada","Luiz Gustavo Bachiega","N/A","Duplicado","NAO","5m","NAO","5m","27/01/2026, 15:38:33"
"GC-8896","[System] Incident","IPPAP_IGREJA_SO_AC indisponível","Fechada","Luiz Gustavo Bachiega","Infraestrutura","Feito","NAO","12m","NAO","3h 18m","27/01/2026, 12:31:35"
"GC-8895","[System] Incident","OUR_A3_CX_03G1 - Indisponivel","Fechada","Emanuel","N/A","Feito","NAO","6m","NAO","9m","27/01/2026, 11:09:47"
"GC-8892","[System] Incident","PRJ_CX_11F3 - Atenuação","Fechada","luiz henrique da silva","N/A","Feito","NAO","27m","NAO","28m","26/01/2026, 20:58:08"
"GC-8889","[System] Incident","FTR São Pedro - Indisponivel","Fechada","NOC Grupo Cednet","N/A","Concluído","N/A (Excluído)","N/A (Excluído)","NAO","21m","26/01/2026, 13:54:41"
"GC-8888","[System] Incident","IPP_CTO_10D4 OFF","Fechada","Eduardo Oliveira","N/A","Concluído","NAO","8m","NAO","2h 3m","26/01/2026, 09:13:27"
"GC-8885","[System] Incident","Vivo - Indisponível ","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A (Excluído)","N/A (Excluído)","26/01/2026, 07:09:08"
"GC-8882","[System] Incident","PTP Piraju x Tejupá - Indsponivel.","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","SIM","14h 35m","24/01/2026, 14:10:55"
"GC-8881","[System] Incident","RC_CX_MB_03 - Indisponível","Fechada","julia marcelino","N/A","Feito","NAO","17m","NAO","4h 26m","24/01/2026, 12:42:39"
"GC-8880","[System] Incident","OL_CX_06A e Ramificações indisponível.","Fechada","luiz henrique da silva","Infraestrutura","Feito","NAO","16m","NAO","2h 31m","24/01/2026, 00:06:07"
"GC-8874","[System] Incident","caixa TAG_CX_20E off ","Fechada","marco antonio pereira rodrigues","N/A","Rejeitado","NAO","29m","NAO","26m","22/01/2026, 19:58:42"
"GC-8873","[System] Incident","ASB_CTO_28A OFF","Fechada","Gabriel Almeida Mattos","N/A","Feito","NAO","7m","NAO","23m","22/01/2026, 18:36:41"
"GC-8872","[System] Incident","CX_CC_DI01 - Caixa OFF","Fechada","Alisson Miguel Bertocci","N/A","Feito","NAO","8m","NAO","2h 5m","22/01/2026, 15:57:55"
"GC-8868","[System] Incident","FTRLK_SPEDROxPREDIOCEDNET_AC OFF","Fechada","Eduardo Oliveira","N/A","Feito","NAO","15m","NAO","2h 4m","22/01/2026, 08:32:08"
"GC-8867","[System] Incident","OLT FAZENDA DO ESTADO - Indisponivel","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","3h 24m","22/01/2026, 08:12:15"
"GC-8862","[System] Incident","CLPLAP_NOVABRASILIA63_AC - OFF","Fechada","Maria Eduarda","N/A","Feito","NAO","6m","NAO","6m","21/01/2026, 12:31:18"
"GC-8861","[System] Incident","OUR_A6_CTO_24A3 - Indisponivel","Fechada","Alisson Miguel Bertocci","N/A","Feito","NAO","12m","NAO","44m","21/01/2026, 08:55:13"
"GC-8860","[System] Incident","Cednet Play apresentando indisponibilidade e lentidão","Fechada","Gabriel Almeida Mattos","N/A","Não fazer","NAO","4m","NAO","3m","20/01/2026, 22:04:03"
"GC-8858","[System] Incident","TAG_FTR_CX_04D1 OFF","Fechada","Gabriel Almeida Mattos","N/A","Feito","NAO","5m","NAO","2h 25m","20/01/2026, 18:52:51"
"GC-8855","[System] Incident"," PRJLK_LIXAOxCHA_PAZSENHOR_AC - Indisponível","Fechada","Elivelton Marques do Santos","N/A","Não fazer","SIM","7h 14m","SIM","7h 14m","20/01/2026, 09:50:53"
"GC-8852","[System] Incident","FTRAP_CHACARAWR_AC - intermitente","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","1h 29m","20/01/2026, 09:35:54"
"GC-8851","[System] Incident","GC CLPL Mingo OFF","Fechada","Eduardo Oliveira","N/A","Não fazer","NAO","6m","NAO","7m","20/01/2026, 09:05:51"
"GC-8850","[System] Incident","OUR_A7_CTO_04E - Los","Fechada","Julberto Capra Jr","N/A","Concluído","NAO","12m","NAO","1h 25m","19/01/2026, 16:27:26"
"GC-8849","[System] Incident","OUR_A6_CTO_57 caixa OFF ","Fechada","vicente dutra de sousa","N/A","Concluído","NAO","7m","NAO","2h 52m","19/01/2026, 15:23:16"
"GC-8845","[System] Incident","Link Brasil - Intermitente","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","N/A (Excluído)","N/A (Excluído)","19/01/2026, 10:15:05"
"GC-8843","[System] Incident","OLT-FAZENDA-ESTADO - indisponivel","Fechada","NOC Grupo Cednet","N/A","Não fazer","N/A (Excluído)","N/A (Excluído)","NAO","1m","19/01/2026, 08:36:00"
"GC-8841","[System] Incident","TAG_CTO_41A - INDISPONÍVEL","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","3h 21m","18/01/2026, 21:08:09"
"GC-8839","[System] Incident","TAG_CX_41 - Indisponivel","Fechada","Daniel","N/A","Concluído","NAO","27m","NAO","2h 17m","18/01/2026, 11:50:25"
"GC-8838","[System] Incident","FTR_CX_07A1 - Indisponível","Fechada","João Gabriel Povoa de Goes","N/A","Feito","SIM","42m","NAO","1h 59m","18/01/2026, 11:45:31"
"GC-8836","[System] Incident","PJAP_ZAURI_AC - Indisponivel","Fechada","Vinicius de Oliveira da Silva","N/A","Feito","NAO","7m","NAO","7m","17/01/2026, 22:48:32"
"GC-8835","[System] Incident","LAGAP_BVISTA_AC - Indisponivel","Fechada","Vinicius de Oliveira da Silva","N/A","Feito","NAO","4m","NAO","4m","17/01/2026, 21:22:57"
"GC-8834","[System] Incident"," BCI_CX_06B e ramificações - INDISPONÍVEL","Fechada","NOC Grupo Cednet","N/A","Concluído","N/A (Excluído)","N/A (Excluído)","NAO","1h 11m","17/01/2026, 20:48:39"
"GC-8833","[System] Incident","BCI_CX_06A7 off","Fechada","marco antonio pereira rodrigues","N/A","Feito","NAO","1m","NAO","4h 9m","17/01/2026, 18:50:34"
"GC-8831","[System] Incident","LAG Sitio Bela Vista (R) - OFF","Fechada","Maria Eduarda","Infraestrutura","Concluído","NAO","8m","NAO","2h 26m","17/01/2026, 14:36:45"
"GC-8830","[System] Incident","PJ Bairro dos Pereiras - Indisponivel","Fechada","Emanuel","N/A","Não fazer","SIM","37m","NAO","1h 35m","17/01/2026, 13:07:02"
"GC-8828","[System] Incident","BA Caixa D'água Antônio (Parte Norte) - Indisponível","Fechada","Andrew Oliveira","N/A","Feito","NAO","8m","NAO","8m","16/01/2026, 23:03:58"
"GC-8827","[System] Incident","CLPLAP_ALTODIOGOS_AC - Indisponível","Fechada","Andrew Oliveira","N/A","Feito","NAO","9m","NAO","7m","16/01/2026, 19:11:33"
"GC-8825","[System] Incident","CLPL Ilha Bela (Rede rádio) - indisponível","Fechada","NOC Grupo Cednet","N/A","Não fazer","N/A (Excluído)","N/A (Excluído)","NAO","6m","16/01/2026, 10:41:39"
"GC-8823","[System] Incident","FTR Fazenda Triunfo - INDISPONÍVEL","Fechada","Chrystyan Albuquerque","N/A","Feito","NAO","0m","NAO","1h 7m","16/01/2026, 06:52:44"
